"","created_at","screen_name","text"
"1",2019-09-03 03:50:59,"gladiolussy","Akhirnya misteri terprcahkan.
Btw, ada yg berani kesana?
#kkndidesapenari https://t.co/FZKUuEScNz"
"2",2019-09-03 03:50:40,"rakazulfikar26","Awalnya sih gak tertarik baca #kkndidesapenari tapi makin penasaran juga. Setelah baca timbul pertanyaan. Kalo si Bima demen sama Widya, terus pengen dapetin dia kenapa khilafnya sama Ayu ? Padahal awalnya kerjasama masukin benda kramat ke tas nya Widya."
"3",2019-09-03 03:49:24,"IPrasetyan","Bagian terbaik di kisah ini xD
Gw ngakak keras padahal awalnya merinding www

#kkndidesapenari https://t.co/eocMY6aIIA"
"4",2019-09-03 03:49:19,"audityaaaaa","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"5",2019-09-03 03:49:10,"haybagus1","Coming soon movie #kkndidesapenari https://t.co/whEAQ5hww5"
"6",2019-09-03 03:48:21,"sendal_swalo","Buat yang masih penasaran tapatnya #kkndidesapenari silahkan https://t.co/hthcZy1Qlu"
"7",2019-09-03 03:47:48,"marimarose_","Ya allah aku ngakak <U+0001F923> save wahyu

santuy slur
#kkndidesapenari #kkndesapenari https://t.co/U6CcibxUFK"
"8",2019-09-03 03:47:15,"smuhaiminamal","Bolehlahh retcehnyaa #kkndidesapenari https://t.co/LW4ROBBZVM"
"9",2019-09-03 03:47:04,"zaelani_15","Atau kalo #kkndidesapenari  terlalau selalu lu #kkndidesajaming sambil sebats beer and cheers . Apaan si"
"10",2019-09-03 03:44:01,"zaelani_15","Apaan si pada #kkndidesapenari lu belom pernah #kkndikotamosing si lebih parah dari apa yang di bayangkan .

#kkndidesapenari 
#DramaTwitter"
"11",2019-09-03 03:46:28,"trichairul","Dimanapun KKN nya, GT Man kolornya <U+0001F44D><U+0001F3FD>

#GTManforKKN #kkndesapenari #kkndidesapenari https://t.co/dokPSKR6lQ"
"12",2019-09-03 03:44:35,"30Fathiaaa","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
